,State,District,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
44,Arunachal Pradesh,West Siang,,51,1725,0,5,1669,"{'confirmed': 7, 'deceased': 0, 'recovered': 17}",7,0,17
45,Assam,Airport Quarantine,,0,13,0,0,13,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
46,Assam,Baksa,,5510,6013,0,56,447,"{'confirmed': 9, 'deceased': 0, 'recovered': 0}",9,0,0
47,Assam,Barpeta,,10368,11543,0,151,1024,"{'confirmed': 72, 'deceased': 0, 'recovered': 0}",72,0,0
48,Assam,Biswanath,,8010,8439,0,50,379,"{'confirmed': 34, 'deceased': 0, 'recovered': 0}",34,0,0
49,Assam,Bongaigaon,,5321,6222,0,67,834,"{'confirmed': 14, 'deceased': 0, 'recovered': 0}",14,0,0
50,Assam,Cachar,,22029,23713,0,186,1498,"{'confirmed': 21, 'deceased': 1, 'recovered': 0}",21,1,0
51,Assam,Charaideo,,3312,3464,0,47,105,"{'confirmed': 4, 'deceased': 0, 'recovered': 0}",4,0,0
52,Assam,Chirang,,2353,2606,0,34,219,"{'confirmed': 14, 'deceased': 0, 'recovered': 0}",14,0,0
53,Assam,Darrang,,8315,10144,0,99,1730,"{'confirmed': 18, 'deceased': 0, 'recovered': 0}",18,0,0
54,Assam,Dhemaji,,6769,7248,0,39,440,"{'confirmed': 26, 'deceased': 0, 'recovered': 0}",26,0,0
55,Assam,Dhubri,,6590,7856,0,51,1215,"{'confirmed': 5, 'deceased': 1, 'recovered': 0}",5,1,0
56,Assam,Dibrugarh,,30197,32973,0,367,2409,"{'confirmed': 42, 'deceased': 2, 'recovered': 0}",42,2,0
57,Assam,Dima Hasao,,2880,3091,0,12,199,"{'confirmed': 8, 'deceased': 0, 'recovered': 0}",8,0,0
58,Assam,Goalpara,,38,10532,0,81,568,"{'confirmed': 19, 'deceased': 0, 'recovered': 0}",19,0,0
59,Assam,Golaghat,,19914,21779,0,209,1656,"{'confirmed': 50, 'deceased': 0, 'recovered': 0}",50,0,0
