,,,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
Arunachal Pradesh,West Siang,0,,51,1725,0,5,1669,"{'confirmed': 7, 'deceased': 0, 'recovered': 17}",7,0,17
Assam,Airport Quarantine,0,,0,13,0,0,13,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Assam,Baksa,0,,5510,6013,0,56,447,"{'confirmed': 9, 'deceased': 0, 'recovered': 0}",9,0,0
Assam,Barpeta,0,,10368,11543,0,151,1024,"{'confirmed': 72, 'deceased': 0, 'recovered': 0}",72,0,0
Assam,Biswanath,0,,8010,8439,0,50,379,"{'confirmed': 34, 'deceased': 0, 'recovered': 0}",34,0,0
Assam,Bongaigaon,0,,5321,6222,0,67,834,"{'confirmed': 14, 'deceased': 0, 'recovered': 0}",14,0,0
Assam,Cachar,0,,22029,23713,0,186,1498,"{'confirmed': 21, 'deceased': 1, 'recovered': 0}",21,1,0
Assam,Charaideo,0,,3312,3464,0,47,105,"{'confirmed': 4, 'deceased': 0, 'recovered': 0}",4,0,0
Assam,Chirang,0,,2353,2606,0,34,219,"{'confirmed': 14, 'deceased': 0, 'recovered': 0}",14,0,0
Assam,Darrang,0,,8315,10144,0,99,1730,"{'confirmed': 18, 'deceased': 0, 'recovered': 0}",18,0,0
Assam,Dhemaji,0,,6769,7248,0,39,440,"{'confirmed': 26, 'deceased': 0, 'recovered': 0}",26,0,0
Assam,Dhubri,0,,6590,7856,0,51,1215,"{'confirmed': 5, 'deceased': 1, 'recovered': 0}",5,1,0
Assam,Dibrugarh,0,,30197,32973,0,367,2409,"{'confirmed': 42, 'deceased': 2, 'recovered': 0}",42,2,0
Assam,Dima Hasao,0,,2880,3091,0,12,199,"{'confirmed': 8, 'deceased': 0, 'recovered': 0}",8,0,0
Assam,Goalpara,0,,38,10532,0,81,568,"{'confirmed': 19, 'deceased': 0, 'recovered': 0}",19,0,0
Assam,Golaghat,0,,19914,21779,0,209,1656,"{'confirmed': 50, 'deceased': 0, 'recovered': 0}",50,0,0
Assam,Hailakandi,0,,4929,6079,0,34,1116,"{'confirmed': 4, 'deceased': 0, 'recovered': 0}",4,0,0
Assam,Hojai,0,,5795,7058,0,103,1160,"{'confirmed': 17, 'deceased': 0, 'recovered': 0}",17,0,0
Assam,Jorhat,0,,21134,23152,0,266,1752,"{'confirmed': 38, 'deceased': 0, 'recovered': 0}",38,0,0
Assam,Kamrup,0,,28948,31268,0,246,2074,"{'confirmed': 46, 'deceased': 1, 'recovered': 0}",46,1,0
Assam,Kamrup Metropolitan,0,,86012,102179,0,797,15370,"{'confirmed': 161, 'deceased': 2, 'recovered': 0}",161,2,0
Assam,Karbi Anglong,0,,6131,6787,0,104,552,"{'confirmed': 17, 'deceased': 0, 'recovered': 0}",17,0,0
Assam,Karimganj,0,,6649,7690,0,86,955,"{'confirmed': 10, 'deceased': 0, 'recovered': 0}",10,0,0
Assam,Kokrajhar,0,,4898,5311,0,60,353,"{'confirmed': 11, 'deceased': 1, 'recovered': 0}",11,1,0
Assam,Lakhimpur,0,,12699,13925,0,91,1135,"{'confirmed': 42, 'deceased': 0, 'recovered': 0}",42,0,0
Assam,Majuli,0,,1686,1774,0,8,80,"{'confirmed': 11, 'deceased': 0, 'recovered': 0}",11,0,0
Assam,Morigaon,0,,12264,12888,0,67,557,"{'confirmed': 32, 'deceased': 0, 'recovered': 0}",32,0,0
Assam,Nagaon,0,,20934,23628,0,188,2506,"{'confirmed': 34, 'deceased': 1, 'recovered': 0}",34,1,0
Assam,Nalbari,0,,8686,9612,0,98,828,"{'confirmed': 41, 'deceased': 0, 'recovered': 0}",41,0,0
Assam,Other State,0,,152,153,0,0,1,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Assam,Sivasagar,0,,9278,9911,0,160,473,"{'confirmed': 17, 'deceased': 1, 'recovered': 0}",17,1,0
Assam,Sonitpur,0,,17905,19836,0,204,1727,"{'confirmed': 25, 'deceased': 1, 'recovered': 0}",25,1,0
Assam,South Salmara Mankachar,0,,1776,1839,0,16,47,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
Assam,Tinsukia,0,,17346,19387,0,243,1798,"{'confirmed': 25, 'deceased': 0, 'recovered': 0}",25,0,0
Assam,Udalguri,0,,4684,5418,0,68,666,"{'confirmed': 14, 'deceased': 2, 'recovered': 0}",14,2,0
Assam,West Karbi Anglong,0,,1193,1233,0,3,37,"{'confirmed': 4, 'deceased': 1, 'recovered': 0}",4,1,0
Assam,Unknown,0,,-405078,112271,1347,1143,514859,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Araria,0,,8,14958,0,116,14834,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Arwal,0,,8,7377,0,74,7295,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
